iso_code,continent,location,N_Year_CY,N_Month_CY,total_cases_CY,new_cases_CY,total_deaths_CY,new_deaths_CY,reproduction_rate_CY,N_Year_LY,N_Month_LY,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY
GRC,Europe,Greece,2021,2,4844582.0,34143.0,172138.0,708.0,33.489999999999995,2020,2,12.0,4.0,0.0,0.0,0.0
TUN,Africa,Tunisia,2021,6,11295935.0,74629.0,412119.0,2305.0,36.45,2020,6,33677.0,97.0,1482.0,2.0,25.279999999999998
OMN,Asia,Oman,2021,12,9450511.0,935.0,127515.0,3.0,50.86999999999999,2020,12,3926319.0,5168.0,45626.0,76.0,31.150000000000002
OWID_OCE,,Oceania,2021,5,2041269.0,5721.0,38051.0,58.0,0.0,2020,5,267274.0,464.0,3723.0,13.0,0.0
SWZ,Africa,Eswatini,2021,5,574123.0,137.0,20819.0,2.0,26.699999999999992,2020,5,6137.0,185.0,57.0,1.0,26.980000000000004
PAK,Asia,Pakistan,2021,12,40007671.0,10679.0,894389.0,196.0,33.410000000000004,2020,12,13839663.0,81696.0,282857.0,2085.0,29.919999999999998
STP,Africa,Sao Tome and Principe,2021,11,111838.0,17.0,1680.0,0.0,9.230000000000002,2020,11,29081.0,46.0,491.0,1.0,29.239999999999995
ISR,Asia,Israel,2021,7,26435658.0,32241.0,199822.0,44.0,49.510000000000005,2020,7,1460503.0,46296.0,13094.0,237.0,39.82999999999999
HND,North America,Honduras,2021,3,5569807.0,18739.0,135977.0,454.0,31.66000000000001,2020,3,821.0,141.0,20.0,7.0,2.6100000000000003
DZA,Africa,Algeria,2021,3,3577898.0,4100.0,94314.0,110.0,27.849999999999998,2020,3,4823.0,715.0,324.0,44.0,17.63
DOM,North America,Dominican Republic,2021,7,10403589.0,16684.0,121075.0,141.0,24.850000000000005,2020,7,1543434.0,37081.0,29158.0,413.0,36.13
VNM,Asia,Vietnam,2021,9,19319948.0,328659.0,479788.0,8237.0,28.189999999999994,2020,9,31897.0,50.0,1048.0,1.0,16.330000000000002
COD,Africa,Democratic Republic of Congo,2021,4,867489.0,1711.0,22475.0,23.0,31.739999999999988,2020,4,8639.0,474.0,659.0,23.0,34.599999999999994
MNE,Europe,Montenegro,2021,10,4269287.0,12815.0,62621.0,180.0,30.929999999999996,2020,10,461498.0,7569.0,7083.0,132.0,32.529999999999994
CUW,North America,Curacao,2021,3,177932.0,3674.0,758.0,13.0,0.0,2020,3,89.0,11.0,13.0,1.0,0.0
CUB,North America,Cuba,2021,7,8526080.0,193603.0,58063.0,1474.0,40.07000000000001,2020,7,75857.0,267.0,2687.0,1.0,40.230000000000004
HRV,Europe,Croatia,2021,3,7881286.0,28659.0,177184.0,421.0,40.48,2020,3,6404.0,861.0,36.0,6.0,22.340000000000003
UGA,Africa,Uganda,2021,4,1239637.0,999.0,10151.0,7.0,35.80999999999999,2020,4,1797.0,39.0,0.0,0.0,0.0
KNA,North America,Saint Kitts and Nevis,2021,12,87390.0,213.0,868.0,0.0,42.99999999999999,2020,12,862.0,10.0,0.0,0.0,0.0
LVA,Europe,Latvia,2021,7,4281523.0,1434.0,78784.0,43.0,28.870000000000005,2020,7,36487.0,113.0,950.0,2.0,40.06
BGR,Europe,Bulgaria,2021,3,9012470.0,95595.0,359929.0,3006.0,38.19,2020,3,3576.0,399.0,71.0,8.0,13.17
KHM,Asia,Cambodia,2021,9,3062547.0,19596.0,62686.0,416.0,29.719999999999995,2020,9,8247.0,3.0,0.0,0.0,5.790000000000001
LUX,Europe,Luxembourg,2021,5,2135012.0,2727.0,25003.0,19.0,25.249999999999993,2020,5,121711.0,234.0,3228.0,20.0,20.85
ITA,Europe,Italy,2021,12,166814321.0,1097136.0,4198388.0,3574.0,43.77,2020,12,58293082.0,505612.0,2046224.0,18583.0,27.080000000000002
URY,South America,Uruguay,2021,4,4664168.0,92879.0,52940.0,1642.0,31.980000000000004,2020,4,15144.0,305.0,280.0,16.0,27.22
OWID_UMC,,Upper middle income,2021,1,861107230.0,5168128.0,24261882.0,141613.0,0.0,2020,1,38034.0,9261.0,889.0,196.0,0.0
FRO,Europe,Faeroe Islands,2021,7,27740.0,207.0,32.0,1.0,0.0,2020,7,6036.0,38.0,0.0,0.0,0.0
MOZ,Africa,Mozambique,2021,5,2182276.0,878.0,25623.0,22.0,28.99,2020,5,4381.0,178.0,11.0,2.0,20.1
OWID_WRL,,World,2021,3,3767633917.0,14793729.0,85554032.0,300341.0,33.510000000000005,2020,3,9064469.0,790076.0,400548.0,41727.0,55.960000000000015
BIH,Europe,Bosnia and Herzegovina,2021,5,6260450.0,5551.0,278061.0,702.0,20.020000000000003,2020,5,68816.0,753.0,3748.0,84.0,28.339999999999996
BLR,Europe,Belarus,2021,9,15302106.0,56554.0,118858.0,363.0,32.5,2020,9,2246305.0,6788.0,22796.0,152.0,34.42
CPV,Africa,Cape Verde,2021,11,1148987.0,155.0,10485.0,0.0,26.190000000000005,2020,11,295451.0,1968.0,3052.0,10.0,28.639999999999993
DEU,Europe,Germany,2021,2,65660655.0,224636.0,1824513.0,12989.0,25.34,2020,2,561.0,74.0,0.0,0.0,0.0
BGR,Europe,Bulgaria,2021,8,13546653.0,30688.0,571340.0,683.0,46.400000000000006,2020,8,443823.0,4576.0,15642.0,246.0,28.009999999999998
TLS,Asia,Timor,2021,7,310489.0,1676.0,787.0,3.0,32.459999999999994,2020,7,744.0,0.0,0.0,0.0,0.0
NOR,Europe,Norway,2021,5,3700511.0,12146.0,23980.0,27.0,29.409999999999993,2020,5,253969.0,702.0,7048.0,26.0,21.71
NOR,Europe,Norway,2021,6,3857167.0,6200.0,23667.0,11.0,25.810000000000002,2020,6,259993.0,439.0,7290.0,14.0,29.910000000000004
NLD,Europe,Netherlands,2021,9,59406918.0,62559.0,544610.0,175.0,27.58,2020,9,2700935.0,50369.0,189054.0,187.0,40.61
AGO,Africa,Angola,2021,6,1109740.0,4298.0,25209.0,134.0,25.599999999999998,2020,6,4660.0,198.0,210.0,9.0,19.939999999999998
SVN,Europe,Slovenia,2021,9,8398786.0,26166.0,134754.0,111.0,36.23,2020,9,121393.0,2807.0,4172.0,17.0,40.45
VNM,Asia,Vietnam,2021,12,46093514.0,493175.0,894433.0,7142.0,33.129999999999995,2020,12,43541.0,118.0,1085.0,0.0,32.1
KAZ,Asia,Kazakhstan,2021,9,27686358.0,99261.0,446945.0,3252.0,24.280000000000005,2020,9,4099504.0,10034.0,59620.0,197.0,24.06
UZB,Asia,Uzbekistan,2021,9,4982610.0,17501.0,35052.0,157.0,26.979999999999997,2020,9,1468909.0,14824.0,12027.0,150.0,30.840000000000007
BES,North America,Bonaire Sint Eustatius and Saba,2021,6,48786.0,36.0,510.0,0.0,0.0,2020,6,210.0,1.0,0.0,0.0,0.0
MCO,Europe,Monaco,2021,11,105962.0,324.0,1080.0,0.0,42.980000000000004,2020,11,15872.0,250.0,74.0,1.0,30.310000000000002
MAR,Africa,Morocco,2021,6,15749902.0,12145.0,276652.0,149.0,34.27,2020,6,284411.0,4726.0,6388.0,23.0,40.900000000000006
IRQ,Asia,Iraq,2021,5,35327743.0,136153.0,494963.0,910.0,27.6,2020,5,112314.0,4354.0,4085.0,112.0,43.17999999999999
SYR,Asia,Syria,2021,12,1532747.0,2108.0,87723.0,148.0,24.54,2020,12,299051.0,3547.0,17320.0,294.0,33.36
TJK,Asia,Tajikistan,2021,10,542024.0,2.0,3875.0,0.0,-0.010000000000000004,2020,10,321645.0,1251.0,2463.0,7.0,30.75
PAN,North America,Panama,2021,8,13883030.0,21832.0,215702.0,238.0,27.950000000000003,2020,8,2495408.0,27726.0,54469.0,581.0,29.750000000000014
CRI,North America,Costa Rica,2021,8,13432741.0,56912.0,162926.0,476.0,36.32000000000001,2020,8,890542.0,23467.0,9155.0,286.0,35.239999999999995
HRV,Europe,Croatia,2021,4,9063636.0,60551.0,194602.0,1134.0,33.13,2020,4,49646.0,1209.0,1043.0,63.0,23.54
BHR,Asia,Bahrain,2021,2,3165005.0,19337.0,11365.0,74.0,31.310000000000002,2020,2,167.0,41.0,0.0,0.0,0.0
LBN,Asia,Lebanon,2021,4,15091550.0,58178.0,204486.0,1044.0,24.87,2020,4,18944.0,255.0,616.0,12.0,24.19
RUS,Europe,Russia,2021,6,156065265.0,436082.0,3770463.0,13509.0,35.46999999999999,2020,6,16097579.0,241086.0,215268.0,4613.0,28.560000000000006
NOR,Europe,Norway,2021,2,1873818.0,8040.0,16705.0,58.0,29.25,2020,2,23.0,15.0,0.0,0.0,0.0
JOR,Asia,Jordan,2021,8,24313870.0,26414.0,316956.0,379.0,32.69000000000001,2020,8,45488.0,841.0,372.0,4.0,45.309999999999995
OWID_HIC,,High income,2021,6,2332774125.0,1863690.0,45802536.0,31009.0,0.0,2020,6,132769717.0,1392525.0,9135469.0,36227.0,0.0
ALB,Europe,Albania,2021,3,3652195.0,17990.0,63810.0,439.0,25.540000000000006,2020,3,2232.0,243.0,91.0,15.0,8.860000000000001
DOM,North America,Dominican Republic,2021,9,10631489.0,8874.0,120714.0,38.0,32.6,2020,9,3143556.0,17494.0,59230.0,395.0,29.23
GNB,Africa,Guinea-Bissau,2021,8,160403.0,1320.0,2911.0,43.0,33.44,2020,8,65237.0,224.0,959.0,8.0,19.970000000000002
MEX,North America,Mexico,2021,4,68840861.0,105868.0,6318085.0,13697.0,28.10000000000001,2020,4,229514.0,18009.0,19390.0,1830.0,47.620000000000005
VEN,South America,Venezuela,2021,5,6686146.0,36482.0,74406.0,510.0,31.759999999999994,2020,5,22391.0,1177.0,325.0,-2.0,47.720000000000006
