iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
NOR,Europe,Norway,2020,2,202002,23.0,15.0,0.0,0.0,4.208,2.745,0.0,0.0,0.0
ITA,Europe,Italy,2021,4,202104,114799462.0,437754.0,3472382.0,11461.0,1901677.5089999996,7251.488,57520.746999999996,189.852,26.660000000000004
NAM,Africa,Namibia,2021,12,202112,4236421.0,18787.0,111208.0,60.0,1637362.8700000003,7261.116000000001,42981.528999999995,23.184,46.16
ERI,Africa,Eritrea,2020,9,202009,10664.0,56.0,0.0,0.0,2961.013999999999,15.548,0.0,0.0,11.35
GNB,Africa,Guinea-Bissau,2021,4,202104,110920.0,84.0,1982.0,4.0,55033.765,41.675,983.3790000000001,1.984,23.100000000000005
OWID_AFR,,Africa,2020,4,202004,590540.0,32974.0,28102.0,1434.0,429.95599999999996,24.005999999999997,20.461000000000002,1.0410000000000004,0.0
ECU,South America,Ecuador,2020,6,202006,1429745.0,17334.0,118831.0,1169.0,79925.48599999999,969.005,6642.8820000000005,65.348,33.690000000000005
MEX,North America,Mexico,2020,9,202009,20309152.0,143656.0,2150492.0,13232.0,155909.765,1102.82,16508.947999999997,101.57900000000001,30.19000000000001
HTI,North America,Haiti,2020,5,202005,15126.0,1508.0,592.0,29.0,1310.555,130.656,51.29199999999999,2.516,31.85
AND,Europe,Andorra,2021,11,202111,481140.0,1599.0,3907.0,1.0,6219975.697000001,20671.200999999997,50508.04599999998,12.928,49.410000000000004
COL,South America,Colombia,2021,5,202105,96787228.0,546732.0,2520736.0,15054.0,1887947.727,10664.645,49169.891999999985,293.645,32.61
OWID_KOS,Europe,Kosovo,2020,5,202005,29343.0,271.0,863.0,8.0,16465.266,152.06700000000004,484.26000000000016,4.489,29.610000000000003
VAT,Europe,Vatican,2021,5,202105,837.0,0.0,0.0,0.0,1030788.1919999996,0.0,0.0,0.0,0.0
SLE,Africa,Sierra Leone,2020,10,202010,71801.0,135.0,2259.0,2.0,8819.307999999999,16.582,277.47600000000006,0.246,25.890000000000004
SVN,Europe,Slovenia,2020,2,202002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,Africa,Botswana,2021,3,202103,1087347.0,11477.0,13723.0,258.0,453582.869,4787.589000000001,5724.499,107.624,35.37
IMN,Europe,Isle of Man,2020,4,202004,7134.0,255.0,228.0,21.0,83526.519,2985.5970000000007,2669.472,245.87,0.0
