iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
IND,Asia,India,2020,38,35838585.0,646263.0,582505.0,8166.0,7.210000000000001,2021,38,233465115.0,211242.0,3107127.0,2183.0,6.260000000000001
ERI,Africa,Eritrea,2020,23,234.0,0.0,0.0,0.0,0.0,2021,23,8155.0,33.0,28.0,0.0,2.16
ERI,Africa,Eritrea,2020,23,39.0,0.0,0.0,0.0,0.0,2021,23,8155.0,33.0,28.0,0.0,2.16
KAZ,Asia,Kazakhstan,2020,38,959660.0,2049.0,13993.0,51.0,5.52,2021,38,6474303.0,22208.0,104609.0,608.0,5.6
KGZ,Asia,Kyrgyzstan,2020,31,205573.0,3681.0,7996.0,129.0,4.069999999999999,2021,31,1120321.0,6740.0,16010.0,87.0,6.029999999999999
KGZ,Asia,Kyrgyzstan,2020,31,36299.0,494.0,1397.0,19.0,0.65,2021,31,1120321.0,6740.0,16010.0,87.0,6.029999999999999
MKD,Europe,North Macedonia,2020,29,59605.0,1051.0,2770.0,38.0,7.180000000000001,2021,29,1090911.0,118.0,38409.0,0.0,9.66
ROU,Europe,Romania,2020,9,8.0,3.0,0.0,0.0,0.0,2021,9,5520650.0,21888.0,140527.0,492.0,8.079999999999998
GBR,Europe,United Kingdom,2020,43,5516299.0,148629.0,309496.0,1166.0,8.6,2021,43,60231165.0,330885.0,973735.0,936.0,7.750000000000001
BRN,Asia,Brunei,2020,48,1047.0,2.0,21.0,0.0,0.2,2021,48,103374.0,548.0,676.0,1.0,5.76
BDI,Africa,Burundi,2020,24,587.0,2.0,7.0,0.0,0.0,2021,24,34627.0,114.0,56.0,2.0,7.420000000000002
MYS,Asia,Malaysia,2020,43,161103.0,6115.0,1474.0,43.0,9.32,2021,43,16855920.0,41508.0,197014.0,496.0,5.77
UZB,Asia,Uzbekistan,2020,38,343439.0,4271.0,2854.0,43.0,7.82,2021,38,1162470.0,4088.0,8183.0,36.0,6.300000000000001
